property_id,business_type,has_license
681,Office,Y
682,Warehouse,N
683,Warehouse,Y
684,Warehouse,N
685,Warehouse,N
686,Office,Y
687,Warehouse,Y
688,Office,Y
689,Restaurant,Y
690,Shop,Y
691,Office,N
692,Restaurant,Y
693,Shop,Y
694,Shop,N
695,Restaurant,Y
696,Office,N
697,Warehouse,N
698,Restaurant,Y
699,Restaurant,Y
700,Warehouse,Y
701,Office,N
702,Shop,Y
703,Shop,Y
704,Office,Y
705,Warehouse,Y
706,Warehouse,Y
707,Office,N
708,Office,N
709,Office,N
710,Shop,N
711,Shop,N
712,Shop,Y
713,Office,Y
714,Warehouse,N
715,Shop,Y
716,Shop,Y
717,Warehouse,N
718,Shop,N
719,Shop,Y
720,Office,Y
721,Shop,Y
722,Shop,Y
723,Shop,Y
724,Shop,Y
725,Warehouse,N
726,Restaurant,N
727,Warehouse,Y
728,Shop,N
729,Warehouse,Y
730,Office,N
731,Warehouse,Y
732,Office,Y
733,Shop,N
734,Warehouse,N
735,Shop,N
736,Warehouse,Y
737,Warehouse,N
738,Shop,N
739,Restaurant,Y
740,Office,Y
741,Restaurant,N
742,Office,Y
743,Office,N
744,Shop,Y
745,Shop,Y
746,Warehouse,Y
747,Office,Y
748,Warehouse,Y
749,Office,N
750,Office,N
751,Office,Y
752,Warehouse,N
753,Shop,N
754,Office,N
755,Shop,N
756,Office,N
757,Warehouse,Y
758,Office,N
759,Shop,N
760,Restaurant,N
761,Warehouse,Y
762,Restaurant,Y
763,Shop,N
764,Shop,Y
765,Office,N
766,Restaurant,Y
767,Warehouse,Y
768,Shop,N
769,Shop,N
770,Office,N
771,Restaurant,N
772,Restaurant,Y
773,Office,N
774,Office,N
775,Shop,Y
776,Office,N
777,Restaurant,N
778,Warehouse,Y
779,Restaurant,Y
780,Restaurant,N
781,Office,N
782,Shop,Y
783,Shop,Y
784,Office,Y
785,Warehouse,N
786,Office,Y
787,Restaurant,Y
788,Warehouse,N
789,Office,Y
790,Warehouse,Y
791,Shop,N
792,Warehouse,Y
793,Restaurant,N
794,Restaurant,Y
795,Restaurant,Y
796,Restaurant,Y
797,Warehouse,N
798,Restaurant,Y
799,Restaurant,N
800,Shop,Y
801,Warehouse,Y
802,Office,Y
803,Restaurant,N
804,Shop,Y
805,Office,Y
806,Office,Y
807,Office,Y
808,Office,Y
809,Office,N
810,Warehouse,N
811,Shop,Y
812,Warehouse,N
813,Office,N
814,Warehouse,N
815,Restaurant,Y
816,Restaurant,Y
817,Restaurant,Y
818,Restaurant,Y
819,Office,N
820,Office,N
821,Shop,N
822,Warehouse,Y
823,Office,N
824,Restaurant,N
825,Warehouse,N
826,Restaurant,Y
827,Warehouse,Y
828,Warehouse,N
829,Shop,Y
830,Warehouse,Y
831,Office,N
832,Office,N
833,Restaurant,N
834,Office,N
835,Warehouse,N
836,Office,N
837,Shop,N
838,Warehouse,Y
839,Office,Y
840,Office,Y
841,Shop,N
842,Warehouse,Y
843,Restaurant,Y
844,Shop,Y
845,Restaurant,Y
846,Shop,N
847,Office,Y
848,Warehouse,N
849,Restaurant,Y
850,Restaurant,N
851,Restaurant,Y
852,Office,N
853,Warehouse,N
854,Warehouse,Y
855,Shop,Y
856,Shop,Y
857,Office,N
858,Warehouse,N
859,Warehouse,Y
860,Office,Y
861,Warehouse,N
862,Warehouse,N
863,Shop,N
864,Office,N
865,Warehouse,N
866,Office,Y
867,Warehouse,N
868,Warehouse,N
869,Office,N
870,Restaurant,N
871,Shop,Y
872,Office,Y
873,Office,N
874,Shop,Y
875,Restaurant,N
876,Restaurant,N
877,Warehouse,Y
878,Warehouse,N
879,Warehouse,Y
880,Warehouse,N
881,Restaurant,N
882,Office,N
883,Office,Y
884,Warehouse,N
885,Warehouse,Y
886,Office,Y
887,Shop,Y
888,Office,Y
889,Shop,Y
890,Shop,N
891,Warehouse,N
892,Office,N
893,Shop,Y
894,Restaurant,N
895,Shop,Y
896,Warehouse,N
897,Shop,N
898,Warehouse,Y
899,Office,N
900,Warehouse,Y
901,Restaurant,N
902,Shop,N
903,Warehouse,Y
904,Warehouse,Y
905,Office,N
906,Warehouse,Y
907,Shop,Y
908,Office,Y
909,Shop,N
910,Office,N
911,Office,N
912,Restaurant,Y
913,Shop,N
914,Warehouse,Y
915,Restaurant,Y
916,Shop,Y
917,Warehouse,N
918,Office,N
919,Restaurant,Y
920,Shop,N
921,Warehouse,Y
922,Shop,Y
923,Restaurant,Y
924,Office,Y
925,Warehouse,N
926,Restaurant,Y
927,Warehouse,N
928,Warehouse,Y
929,Shop,Y
930,Warehouse,N
931,Restaurant,Y
932,Shop,Y
933,Restaurant,N
934,Warehouse,Y
935,Shop,Y
936,Warehouse,Y
937,Shop,Y
938,Warehouse,N
939,Restaurant,Y
940,Warehouse,N
941,Restaurant,Y
942,Shop,N
943,Office,Y
944,Shop,N
945,Shop,Y
946,Shop,Y
947,Restaurant,N
948,Shop,N
949,Warehouse,N
950,Office,N
951,Shop,N
952,Restaurant,Y
953,Warehouse,Y
954,Office,N
955,Office,Y
956,Warehouse,N
957,Shop,N
958,Warehouse,N
959,Restaurant,Y
960,Shop,Y
961,Restaurant,Y
962,Office,N
963,Shop,N
964,Shop,Y
965,Shop,Y
966,Office,Y
967,Restaurant,N
968,Office,Y
969,Restaurant,N
970,Office,N
971,Shop,Y
972,Shop,Y
973,Restaurant,Y
974,Warehouse,N
975,Restaurant,Y
976,Warehouse,Y
977,Warehouse,N
978,Restaurant,N
979,Shop,N
980,Office,Y
981,Warehouse,N
982,Warehouse,N
983,Restaurant,Y
984,Restaurant,N
985,Warehouse,Y
986,Shop,N
987,Office,N
988,Office,N
989,Shop,N
990,Warehouse,N
991,Shop,Y
992,Warehouse,N
993,Restaurant,N
994,Shop,Y
995,Restaurant,N
996,Shop,Y
997,Warehouse,Y
998,Restaurant,N
999,Warehouse,Y
1000,Restaurant,N
